BEnh,h,d,R,P0,Nb,a
-28.61148128,1,10,990050,0.00513358,2019,2
-28.57083533,1,10,980050,0.005098598,2013,2
-28.52975016,1,10,970050,0.005062326,2006,2
-28.48821662,1,10,960050,0.00502724,2000,2
-28.45438817,1,15,990050,0.006782761,1528,2
-28.44622519,1,10,950050,0.00499087,1993,2
-28.41473691,1,15,980050,0.006737159,1524,2
-28.40376609,1,10,940050,0.004955675,1987,2
-28.3746507,1,15,970050,0.006689337,1519,2
-28.36082923,1,10,930050,0.004919203,1980,2
-28.33412039,1,15,960050,0.006641455,1514,2
-28.31740415,1,10,920050,0.004882681,1973,2
-28.31634241,1,20,990050,0.008276905,1252,2
-28.29313654,1,15,950050,0.006593511,1509,2
-28.27755134,1,20,980050,0.008221552,1249,2
-28.27348009,1,10,910050,0.004846106,1966,2
-28.25168942,1,15,940050,0.006545504,1504,2
-28.23832915,1,20,970050,0.00816293,1245,2
-28.22904591,1,10,900050,0.004810682,1960,2
-28.20976901,1,15,930050,0.006497432,1499,2
-28.19866675,1,20,960050,0.008104236,1241,2
-28.19123253,1,25,990050,0.009670156,1072,2
-28.18409011,1,10,890050,0.004773994,1953,2
-28.16736491,1,15,920050,0.006449293,1494,2
-28.15855476,1,20,950050,0.00804547,1237,2
-28.15320979,1,25,980050,0.009602991,1069,2
-28.13860078,1,10,880050,0.004737251,1946,2
-28.12446642,1,15,910050,0.006401086,1489,2
-28.11798351,1,20,940050,0.00798663,1233,2
-28.11475948,1,25,970050,0.009535738,1066,2
-28.0925656,1,10,870050,0.004700449,1939,2
-28.08106247,1,15,900050,0.006352808,1484,2
-28.076943,1,20,930050,0.007927714,1229,2
-28.07587265,1,25,960050,0.009464095,1062,2
-28.07575162,1,30,990050,0.01099128,944,2
-28.04597184,1,10,860050,0.004663589,1932,2
-28.03842866,1,30,980050,0.010912301,941,2
-28.03714162,1,15,890050,0.006304458,1479,2
-28.03653988,1,25,950050,0.009396675,1059,2
-28.03542292,1,20,920050,0.007868719,1225,2
-28.00068152,1,30,970050,0.010833242,938,2
-27.99880631,1,10,850050,0.004625487,1924,2
-27.99675152,1,25,940050,0.009324893,1055,2
-27.99341262,1,20,910050,0.007809644,1221,2
-27.99269202,1,15,880050,0.006253963,1473,2
-27.96785129,1,35,990050,0.0122464,846,2
-27.96250121,1,30,960050,0.010754102,935,2
-27.95649778,1,25,930050,0.009257297,1052,2
-27.95105534,1,10,840050,0.004588509,1917,2
-27.95090109,1,20,900050,0.007747395,1216,2
-27.94770146,1,15,870050,0.006205473,1468,2
-27.93117398,1,35,980050,0.012162487,844,2
-27.92387846,1,30,950050,0.010674877,932,2
-27.91576822,1,25,920050,0.009189601,1049,2
-27.90787695,1,20,890050,0.007688166,1212,2
-27.90270479,1,10,830050,0.004551466,1910,2
-27.90215724,1,15,860050,0.006156904,1463,2
-27.89407561,1,35,970050,0.012071589,841,2
-27.88480368,1,30,940050,0.010595565,929,2
-27.87455237,1,25,910050,0.009117588,1045,2
-27.86614955,1,40,990050,0.013463608,770,2
-27.86432842,1,20,880050,0.007628849,1208,2
-27.85654744,1,35,960050,0.01198746,839,2
-27.85604624,1,15,850050,0.006108256,1458,2
-27.85373998,1,10,820050,0.004514358,1903,2
-27.84526699,1,30,930050,0.010516165,926,2
-27.83283918,1,25,900050,0.009049701,1042,2
-27.83007345,1,40,980050,0.013369165,768,2
-27.8202433,1,20,870050,0.007569443,1204,2
-27.81858009,1,35,950050,0.011896397,836,2
-27.80935492,1,15,840050,0.006057488,1452,2
-27.80525817,1,30,920050,0.010436672,923,2
-27.80414571,1,10,810050,0.004476022,1895,2
-27.79357942,1,40,970050,0.013274607,766,2
-27.79061739,1,25,890050,0.008977527,1038,2
-27.78016405,1,35,940050,0.011812041,834,2
-27.775609,1,20,860050,0.007509946,1200,2
-27.76965715,1,45,990050,0.014639414,708,2
-27.76476668,1,30,910050,0.010357085,920,2
-27.76206916,1,15,830050,0.006008682,1447,2
-27.75665882,1,40,960050,0.013171708,763,2
-27.75390619,1,10,800050,0.004438782,1888,2
-27.74787522,1,25,880050,0.008909439,1035,2
-27.74128958,1,35,930050,0.011720801,831,2
-27.73414509,1,45,980050,0.014534436,706,2
-27.73041251,1,20,850050,0.007447326,1195,2
-27.72378161,1,30,900050,0.010277401,917,2
-27.71930219,1,40,950050,0.013076948,761,2
-27.71417439,1,15,820050,0.00595777,1441,2
